MP_Name,Work_Type,Amount,log_spend,peer_median,peer_mad,peer_n_mps,peer_median_spend,conc_eligible,conc_z,conc_ratio,conc_score,mp_total_amount,mp_works_n,portfolio_share,mp_cat_works_n,conc_reason
AMARSING TISSO,Construction of bus-sheds or bus-stops,1496356.0,14.218543377121126,13.86558751291084,0.743540185445033,21,1051351.9999999995,True,0.32018273533843433,1.4232683249758413,0,25068172.0,33,0.05969146852829955,2,
AMARSING TISSO,Construction of community centers and community halls,6498070.0,15.687015767698558,14.21557510928233,0.7574997842031976,101,1491921.0000000002,True,1.310213870418098,4.355505418852606,0,25068172.0,33,0.25921594921241164,4,
AMARSING TISSO,"Construction of roads, link roads, pathways or any other road with or without drainage system",4499487.0,15.319473948242054,15.057946519666173,0.917949939299187,226,3464041.467798128,True,0.1921676150543739,1.298912568405262,0,25068172.0,33,0.17949003222093737,3,
AMARSING TISSO,Construction of shelters for animals,500000.0,13.122363377404328,13.122363377404328,0.7897746741435387,5,499999.9999999997,False,0.0,1.0000000000000007,0,25068172.0,33,0.019945610713058774,1,
AMARSING TISSO,Construction of water tanks,181264.0,12.10770981111327,13.789690196386779,0.7455523627361185,12,974510.1333490579,False,0.0,0.18600524899321227,0,25068172.0,33,0.0072308423605837715,1,
AMARSING TISSO,Creation of new ponds,2817678.0,14.851423699475491,14.851423699475491,0.3536090351812504,5,2817678.0000000023,False,0.0,0.9999999999999992,0,25068172.0,33,0.11240061700550004,5,
AMARSING TISSO,Installing tube-wells and borewells,5092941.0,15.443366021271856,13.14725957257652,0.9530793891161249,32,512604.3466944067,True,1.6249683051915265,9.935422968694018,0,25068172.0,33,0.20316363714115254,14,
AMARSING TISSO,Tree plantation for community,999679.0,13.815189506432747,15.217030222651779,1.4018407162190316,2,4061367.1959083,False,0.0,0.24614346641868412,0,25068172.0,33,0.03987841634403976,1,
AMBICA G LAKSHMINARAYANA VALMIKI,Construction of boundary walls of existing public and community buildings,500000.0,13.122363377404328,13.800753921547606,0.6784135446722939,62,985351.7091490725,True,-0.6744771321534735,0.5074330265604234,0,3883891.0,7,0.12873687752823135,1,
AMBICA G LAKSHMINARAYANA VALMIKI,Construction of community centers and community halls,500000.0,13.122363377404328,14.21557510928233,0.7574997842031976,101,1491921.0000000002,True,-0.9734277534182294,0.3351383886948437,0,3883891.0,7,0.12873687752823135,1,
AMBICA G LAKSHMINARAYANA VALMIKI,"Construction of roads, link roads, pathways or any other road with or without drainage system",1999656.0,14.508485723730523,15.057946519666173,0.917949939299187,226,3464041.467798128,True,-0.40373803732863756,0.5772609879497358,0,3883891.0,7,0.514858939141186,4,
AMBICA G LAKSHMINARAYANA VALMIKI,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",884235.0,13.69247814339543,13.122363377404328,0.5108256237659905,13,499999.9999999997,False,0.0,1.768470000000001,0,3883891.0,7,0.2276673058023513,1,
